unique_id,phase,ietitle,iecode,TTL,TTL_dime,i2i_type,prev_i2i,i2i_call,Unit,region,country,fcs_country,ida_country,income_country,wb_network,program,GP,theme,CCSA,Gender,sectorFCS,cn_yes,CN_rev_date,ie_start_date,ie_end_date,status,status_followup_no,WBG_proj_associated,ProjectId,WBG_proj_name,WBG_proj_TTL_name
227,Before CN Review,Experimental Evidence on the Returns to Vocational Education interventions in Azerbaijan,P167616a,Eric Mvukiyehe,Yes,Non-i2i,No,,,ECA,Azerbaijan,No,No,Upper middle income,Human Development,E4Peace;SPJ,Jobs & Development,"Social Protection;Social, Urban, Rural & Resilience",Fragility Conflict and Violence,No,Yes,,,,,Preparation for CN: up to CN review,,Yes,P122943,IDP Living Standards and Livelihoods Project,"Robert Wrobel, Rebecca Lacroix"
230,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),DRC - Human Development Systems Strengtening Project IE,ert842e,Eric Mvukiyehe,Yes,Non-i2i,,Governance,,AFR,"Congo, Dem. Rep.",Yes,Yes,Low income,Human Development,E4Peace;IEGovern;ID4D,Governance,Social Protection,Fragility Conflict and Violence,No,Yes,,10/23/2017,10/19/2016,12/31/2020,Preparation for baseline / intervention: between CN review and baseline,,Yes,P156421,DRC Human Development Systems Strengthening,Christophe Rockmore
239,Before CN Review,Creating jobs in developing countries: Evaluating the Impact of a Business Plan Competition in Kenya,wr46dg,Francisco Moraes Leitao Campos,No,Non-i2i,,Trade & Competitiveness / Finance & Markets,,AFR,Kenya,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,SPJ,"Macroeconomics, Trade & Investment","Jobs & Development;Finance, Competitiveness & Innovation",Gender;Jobs,Yes,No,,,,,Preparation for CN: up to CN review,,Yes,P151831,Kenya Youth Employment and Opportunities Project,Abla Safir
240,After IE results are available for discussion,Growth & Employment IE,sfr7cx,David McKenzie,No,i2i,,Trade & Competitiveness / Finance & Markets,,AFR,Nigeria,Yes,Yes,Lower middle income,Equitable Growth Finance and Institutions,FPD,"Finance, Competitiveness & Innovation",Jobs & Development,Jobs,No,Yes,No,11/1/2016,10/1/2016,12/11/2020,Working Paper: there is a finished working paper,,Yes,P103499,Growth and Employment (GEM),Kofi-Boateng Agyen
242,Before CN Review,The impact evaluation of the Identity and Targeting for Social Protection project,df5476,Guigonan Serge Adjognon,Yes,Non-i2i,,Governance,,MNA,Morocco,No,No,Lower middle income,Human Development,SPJ,Social Protection,Governance,Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P155198,Identity and Targeting for Social Protection Project,Emil Daniel Tesliuc
243,Before CN Review,Pakistan: Impact Evaluation of Biometric Identification-Based Cash Transfers,P164957,Bilal Siddiqi,No,i2i,,Governance,,SAR,Pakistan,No,Yes,Lower middle income,Human Development,IEGovern;ID4D,Social Protection,Governance;Poverty;Transport,Gender,Yes,No,,,,,Preparation for CN: up to CN review,,Yes,P158643,Pakistan: National Social Protection Program,"Amjad Zafar Khan, Nina Rosas Raffo"
244,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Impact of e-KYC on access to finance: Evidence from Bangladesh,566rre,Xavier Gine,No,i2i,,Governance,,SAR,Bangladesh,No,No,Lower middle income,Human Development,IEGovern,"Finance, Competitiveness & Innovation",Governance;Poverty,Gender,Yes,No,No,,8/1/2019,5/31/2022,Preparation for baseline / intervention: between CN review and baseline,,Yes,P121528,BD Identification System for Enhancing Access to Services,Syed Khaled Ahsan
246,Before CN Review,Evaluating the impact of transport corridors in Eastern Africa,P166400,Alice Duhaut,Yes,i2i,,Transport & ICTs,,AFR,Kenya,No,Yes,Lower middle income,Sustainable Development,IEConnect,Transport,"Social, Urban, Rural & Resilience",Jobs,Yes,No,,,,,Preparation for CN: up to CN review,,Yes,P148853,"EA Regional Transport , Trade and Development Facilitation Project (Second Phase of Program)","Josphat O. Sasia ( Susan Apudo Owuor, Rajesh Rohatgi)"
247,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Impact of highway upgrading on national integration and local economic development,P166418,Alice Duhaut,Yes,i2i,,Transport & ICTs,,MNA,Tunisia,No,No,Lower middle income,Sustainable Development,IEConnect,"Social, Urban, Rural & Resilience",Poverty;Social Protection,Jobs,No,No,Yes,6/20/2019,6/30/2016,6/29/2021,Intervention: ongoing treatment implementation,,Yes,P146502,TN-Road Transport Corridors,Andrew Losos
249,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),The route for development: complementary effects of improved roads and agricultural extension services,P166755,Paul Christian,Yes,i2i,,Transport & ICTs,,AFR,Mozambique,Yes,Yes,Low income,Sustainable Development,IEConnect;Rural Development,Transport,Agriculture,Gender,Yes,Yes,Yes,2/21/2019,2/28/2019,12/31/2025,Preparation for baseline / intervention: between CN review and baseline,,Yes,P158231,Integrated Feeder Road Development Project,Rakesh Tripathi
250,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Lake Victoria Transport Program  Rwanda Corridor,P166391,Maria Jones,Yes,i2i,,Transport & ICTs,,AFR,Rwanda,No,Yes,Low income,Sustainable Development,IEConnect;Rural Development,Transport,"Agriculture;Social, Urban, Rural & Resilience",Jobs,No,No,Yes,1/24/2019,9/1/2017,6/30/2022,Preparation for baseline / intervention: between CN review and baseline,,Yes,P160488,"LAKE VICTORIA TRANSPORT PROGRAM - SOP1, RWANDA",Emmanuel Taban
252,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Evaluating the impact of urban corridor improvement in Addis Ababa,P166416,Girija Borker,Yes,i2i,,Transport & ICTs,,AFR,Ethiopia,No,Yes,Low income,Sustainable Development,IEConnect,Transport,"Social, Urban, Rural & Resilience",Not Applicable,No,No,Yes,10/1/2018,7/21/2017,6/30/2021,Preparation for baseline / intervention: between CN review and baseline,,Yes,P151819,Ethiopia: Transport Systems Improvement Project (TRANSIP),"Josphat O. Sasia, James Markland, Haileyesus Adamtei Mengesha"
256,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Guinea-Bissau Rural Transport Project: impact evaluation on Women's access to essential services and economic opportunities,P166397,"Theophile Bougna, Sveta Milusheva,  Theophile Bougna",Yes,i2i,,Transport & ICTs,,AFR,Guinea-Bissau,Yes,Yes,Low income,Sustainable Development,IEConnect,Transport,Poverty,Gender,Yes,Yes,Yes,11/15/2019,5/24/2019,12/30/2022,Baseline: in the field or completed baseline,,Yes,P161923,Guinea-Bissau - Rural Transport Project,Vincent Vesin
257,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,The short-term health impacts of emergency response and trauma registry ? an IE of the Health Services Improvement and Emergency Response of the Southern Africa Transport and Trade Facilitation II (SATTF-SOP2) Program,P166402b,Sveta Milusheva,Yes,i2i,,Transport & ICTs,,AFR,Malawi,No,Yes,Low income,Sustainable Development,Health;IEConnect,Transport,"Health, Nutrition & Population",Not Applicable,No,No,Yes,9/19/2018,1/29/2018,12/31/2021,Intervention: ongoing treatment implementation,,Yes,P145566,SATTF Program - Phase 2 in Malawi,Christopher J. De Serio
258,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Effects of Large Transportation Infrastructure Projects on Worker Well-Being,P166486a,Sveta Milusheva,Yes,i2i,,Transport & ICTs,,AFR,Senegal,No,Yes,Lower middle income,Sustainable Development,IEConnect,Transport,Social Protection,Jobs,No,No,Yes,9/6/2018,9/28/2018,12/31/2022,Follow-up: in the field or completed follow-up,2,Yes,P156186,Dakar Bus Rapid Transit Pilot Project,Franck Taillandier
260,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Liberia Road Safety to Liberia Road Safety Impact Evaluation,P167427,Theophile Bougna,Yes,i2i,,Transport & ICTs,,AFR,Liberia,Yes,Yes,Low income,Sustainable Development,IEConnect,Transport,Transport,Not Applicable,No,Yes,Yes,6/9/2020,6/9/2020,5/31/2022,Preparation for baseline / intervention: between CN review and baseline,,Yes,P161939,Second Additional Financing to Liberia Road Asset Management Project,"Kulwinder Rao, John Richardson, Farhad Ahmed"
261,Before CN Review,Connecting the Dots: The Impact of Enhanced Bridge Connectivity,P161929,Theophile Bougna,Yes,i2i,,Transport & ICTs,,SAR,Nepal,No,Yes,Lower middle income,Sustainable Development,IEConnect,Transport,Transport,Gender,Yes,No,,,,,Preparation for CN: up to CN review,,Yes,P161929,Second Bridges Improvement and Maintenance Program,Oceane Keou
262,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Impact Evaluation of Iraq Transport Corridor Project,P166426,Theophile Bougna,Yes,i2i,,Transport & ICTs,,MNA,Iraq,Yes,No,Upper middle income,Sustainable Development,IEConnect,Transport,"Finance, Competitiveness & Innovation",Fragility Conflict and Violence,No,Yes,Yes,12/7/2018,12/7/2018,6/30/2022,Analysis: conducting data analysis,,Yes,P131550,Transport Corridors Project,"Ibrahim Khalil Dajani, Soran Hama Tahir Ali"
267,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Impact Evaluation of Emergency Response and Post Crash Care in Tanzania,P166402a,Sveta Milusheva,Yes,i2i,,Transport & ICTs,,AFR,Tanzania,No,Yes,Lower middle income,Sustainable Development,Health;IEConnect,Transport,"Health, Nutrition & Population;Transport",Not Applicable,No,No,Yes,9/19/2018,9/28/2018,2/28/2021,Analysis: conducting data analysis,,Yes,P120370,Southern Africa Trade and Transport Facilitation Program (SATTF) Phase 1,Gylfi Palsson
269,After IE results are available for discussion,Pedagogical Innovative Program (PIP),sdfw556,Caio Piza,Yes,i2i,No,Trade & Competitiveness / Finance & Markets,,LCR,Brazil,No,No,Upper middle income,Human Development,Education,Education,Social Protection,Not Applicable,No,No,No,5/31/2017,8/31/2014,6/30/2020,Completed: final output under preparation,,Yes,P126452,RIO GRANDE DO NORTE REGIONAL DEVELOPMENT AND GOVERNANCE PROJECT,Fatima Amazonas
270,Before CN Review,"The Impacts of the Peshawar-Torkham Expressway Corridor and Complementary Investments on Trade, Firms, and Welfare",P166753b,Alice Duhaut,Yes,Non-i2i,,Transport & ICTs,,SAR,Pakistan,No,Yes,Lower middle income,Sustainable Development,IEConnect,"Social, Urban, Rural & Resilience",Social Protection,Gender,Yes,No,,,,,Preparation for CN: up to CN review,,Yes,P159577,Khyber Pass Economic Corridor Project,"Said DahDah , Adja Mansora Dahourou"
271,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Niger Forcibly Displaced Support Project Impact Evaluation,P169092,"Chloë Fernandez,  Guigonan Serge Adjognon,   Marcus Holmlund, Marcus Holmlund,    Guigonan Serge Adjognon,    Chloë Fernandez",Yes,Non-i2i,No,,,AFR,Niger,Yes,Yes,Low income,Human Development,SPJ;E4Peace;URS & URL,"Social, Urban, Rural & Resilience",Social Protection,Fragility Conflict and Violence,No,Yes,Yes,5/31/2019,7/1/2018,6/30/2023,Preparation for baseline / intervention: between CN review and baseline,,Yes,P164563,Niger Refugees and Host Community Support Project(PARCA),Sabine Beddies
272,Before CN Review,Jordan Municipal Services and Social Resilience Project IE,ser5fssz,"Chloë Fernandez,  Marcus Holmlund,   Chloë Fernandez, Marcus Holmlund",Yes,Non-i2i,No,,,MNA,Jordan,No,No,Upper middle income,Human Development,URS & URL;SPJ;E4Peace,"Social, Urban, Rural & Resilience",Social Protection,Fragility Conflict and Violence;Jobs,No,Yes,,,,,Preparation for CN: up to CN review,,Yes,P161982,Municipal Services and Social Resilience Project (MSSRP),"Lina Abdallah Saeed Abdallah, Phoram Shah"
273,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,IE of Como va mi Escuela,kjs5454,Vincenzo Di Maro,Yes,Non-i2i,No,,,LCR,Dominican Republic,No,No,Upper middle income,Human Development,Health,Governance,"Education;Health, Nutrition & Population",Not Applicable,No,No,Yes,1/24/2018,3/1/2017,12/31/2021,Intervention: ongoing treatment implementation,,Yes,P159392,GPSA/USAID TF Strengthening Citizen Engagement and Transparency to Improve the Delivery of Public Services in the Dominican Republic,348113
274,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Improving access to health care of pregnant women and mothers with children in forced displacement situations,P169253,Victor Orozco,Yes,Non-i2i,No,,,AFR,Nigeria,Yes,Yes,Lower middle income,Human Development,Health,"Health, Nutrition & Population",Social Protection,Gender,Yes,Yes,Yes,12/13/2018,10/8/2018,12/31/2021,Preparation for baseline / intervention: between CN review and baseline,,Yes,PAD1741,National State Health Insurance Project,Ayodeji Oluwole
276,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Slow down! Pilots to Decrease Speeding and Incidence of Fatal Traffic Accidents at ?Critical? Road Spots,P167590a,"Alejandro De la Fuente,  Elizaveta Perova, Elizaveta Perova,   Alejandro De la Fuente",No,i2i,,Transport & ICTs,,LCR,Nicaragua,No,Yes,Lower middle income,Sustainable Development,IEConnect,Transport,"Health, Nutrition & Population",Climate Change,No,No,Yes,6/7/2019,10/22/2018,6/30/2022,Preparation for baseline / intervention: between CN review and baseline,,Yes,P160359,Rural and Urban Access Improvement Project,Roger Gorham
278,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Enhancing Female Participation in Household Decision-Making for Improved Impacts of Rural Roads on Factor Accumulation and Productivity in Nicaragua,P167590b,"Alejandro De la Fuente,  Elizaveta Perova, Elizaveta Perova,   Alejandro De la Fuente",No,i2i,,Transport & ICTs,,LCR,Nicaragua,No,Yes,Lower middle income,Sustainable Development,Gender & GBV;IEConnect,Transport,Social Protection,Gender,Yes,No,Yes,6/7/2019,8/3/2015,7/1/2022,Baseline: in the field or completed baseline,,Yes,P146845,Additional Financing Rural Roads Infrastructure Improvement Project,Roger Gorham
288,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Evaluating the Rollout of Estonia's ECM,P169891,Daniel Rogger,Yes,Non-i2i,,Governance,,ECA,Estonia,No,No,High income,Equitable Growth Finance and Institutions,IEGovern;Bureaucracy,Governance,"Finance, Competitiveness & Innovation;Health, Nutrition & Population",Not Applicable,No,No,Yes,10/2/2018,8/3/2020,12/31/2021,Preparation for baseline / intervention: between CN review and baseline,,Yes,P167141,Integrated Health Care RAS Phase 3,Ian Forde
293,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Scaling up the PSNP livelihoods program in Ethiopia,sdfewrz,Aidan Coville,Yes,Non-i2i,No,,,AFR,Ethiopia,No,Yes,Low income,Human Development,E4Peace;SPJ,Social Protection,Jobs & Development,Fragility Conflict and Violence,No,Yes,Yes,2/8/2018,7/19/2017,12/31/2021,Intervention: ongoing treatment implementation,,Yes,P146883,ET Productive Safety Nets Project 4 (PSNP 4),Michael Munavu
297,Before CN Review,"Malawi customs, border management and traders IE",P167575,Alice Duhaut,Yes,Non-i2i,No,,,AFR,Malawi,No,Yes,Low income,Equitable Growth Finance and Institutions,IEConnect,"Macroeconomics, Trade & Investment",Transport,Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P145566,Southern Africa Trade and Transport Facilitation Program - SOP2,Chris de Serio
299,After IE results are available for discussion,Combatting customs fraud: experimental evidence from Madagascar,P150116,Alice Duhaut,Yes,Non-i2i,No,,,AFR,Madagascar,No,Yes,Low income,Equitable Growth Finance and Institutions,Trade,"Macroeconomics, Trade & Investment",Governance,Not Applicable,No,No,No,,10/15/2018,6/30/2020,Working Paper: there is a finished working paper,,Yes,P150116,,Tiago Carneiro
300,After IE results are available for discussion,Cote d'Ivoire micro-entrepreneurship and social cohesion IE,P150249c,Patrick Premand,Yes,Non-i2i,No,,,AFR,Cote d'Ivoire,No,Yes,Lower middle income,Human Development,E4Peace;SPJ,Social Protection,,Fragility Conflict and Violence;Gender;Jobs,Yes,Yes,No,,1/1/2015,6/30/2019,Completed: final output under preparation,,Yes,P145750,Social Inclusion and Improvement of Livelihoods in Post Conflict Western Cote d'Ivoire,Steffen Janus
306,Before CN Review,Promoting green growth investments in West Africa and the Sahel,54ghjghj,Arndt Reichert,No,Non-i2i,No,,,AFR,Mali;Senegal;Nigeria,Yes,Yes,Low income,Sustainable Development,Energy,Energy,"Finance, Competitiveness & Innovation",Climate Change;Public Private Partnerships,No,Yes,,,,,Preparation for CN: up to CN review,,Yes,P160708,Regional Off-grid electrification project,Raihan Elahi
307,After IE results are available for discussion,Promoting Productive Inclusion and Resilience among the Poor: Multi-country RCT of the Sahel Adaptive Social Protection,P150143,Patrick Premand,Yes,Non-i2i,No,,,AFR,Burkina Faso;Mauritania;Niger;Senegal;Chad,Yes,Yes,Low income,Human Development,E4Peace;SPJ,Social Protection,"Agriculture;Social, Urban, Rural & Resilience",Climate Change;Fragility Conflict and Violence;Gender;Jobs,Yes,Yes,No,,3/1/2016,6/30/2022,Completed: final output under preparation,,Yes,P150143,World Bank Sahel Adaptive Social Protection Program,Carlo del Ninno
312,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Partnerships with community-based organizations to improve municipal government performance in Burkina Faso,P172738c,Marcus Holmlund,Yes,i2i,No,Ongoing,,AFR,Burkina Faso,No,Yes,Low income,Equitable Growth Finance and Institutions,IEGovern;E4Peace,Governance,"Education;Finance, Competitiveness & Innovation;Health, Nutrition & Population;Water",Fragility Conflict and Violence,No,Yes,Yes,11/18/2013,1/1/2019,10/31/2021,Intervention: ongoing treatment implementation,,Yes,P162742,Local Government Support Project Additional Financing,Ousmane Maurice Megnan Kolie
313,Before CN Review,Teaching Training and Student Learning,47ghg,Caio Piza,Yes,Non-i2i,No,,,LCR,Brazil,No,No,Upper middle income,Human Development,Education,Education,Poverty;Social Protection,Gender,Yes,No,,,,,Preparation for CN: up to CN review,,Yes,P126372,BR-Recife SWAP - EDUC & PUBLIC MGMT.,Andre Loureiro
320,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Risk of social isolation by contraceptive users and new ways of scaling up family planning methods in Burundi,P170537,Victor Orozco,Yes,Non-i2i,No,,,AFR,Burundi,Yes,Yes,Low income,Human Development,Health,"Health, Nutrition & Population",Social Protection,Fragility Conflict and Violence;Gender,Yes,Yes,Yes,8/14/2019,7/1/2019,12/31/2021,Preparation for baseline / intervention: between CN review and baseline,,Yes,P165253,Investing in Early Years and Fertility Project (Nkuriza),Laurence Lannes
327,Before CN Review,Impact Evaluation of Legal Aid in Peru,456dfs,Vincenzo Di Maro,Yes,Non-i2i,No,,,LCR,Peru,No,No,Upper middle income,Equitable Growth Finance and Institutions,IEGovern;Justice,Governance,"Finance, Competitiveness & Innovation;Poverty",Gender,Yes,No,,,,,Preparation for CN: up to CN review,,Yes,P162833,Improving the Performance of Non-Criminal Justice Services,Nicholas Menzies
333,Before CN Review,Incentivizing conservation in de facto community-owned forests,P155240b,Guigonan Serge Adjognon,Yes,i2i,,Ongoing,,AFR,Burkina Faso,No,Yes,Low income,Sustainable Development,Environment,Environment & Natural Resources,Agriculture,Climate Change,No,No,,,,,Preparation for CN: up to CN review,,Yes,P143993,FIP - DECENTRALIZED FOREST AND WOODLAND MANAGEMENT PROJECT (P143993),Loic Braune
338,Before CN Review,Roads for Rural Transformation in Mandul and Chari Provinces of Chad,P174204,Theophile Bougna,Yes,i2i,,Ongoing,,AFR,Chad,Yes,Yes,Low income,Sustainable Development,IEConnect,Agriculture,Transport,Gender,Yes,Yes,,,,,Preparation for CN: up to CN review,,Yes,P164747,Chad Rural Mobility and Connectivity Project,Danye Aboki
339,Before CN Review,Professionalization of Artisanal Transport in Abidjan,hg84argd,"  Alice Duhaut, Theophile Bougna, Sveta Milusheva,   Theophile Bougna,  Alice Duhaut",Yes,i2i,,Ongoing,,AFR,Cote d'Ivoire,No,Yes,Lower middle income,Sustainable Development,IEConnect,Transport,Social Protection,Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P167401,Abidjan Urban Mobility Project (P167401),Alphonse SohAnne Cecile Sophie SouhaidFranck Taillandier
340,Before CN Review,RAAMP Impact Evaluation,bv12paoe,Theophile Bougna,Yes,i2i,,Ongoing,,AFR,Nigeria,Yes,Yes,Lower middle income,Sustainable Development,IEConnect,Transport,Jobs & Development,Jobs,Yes,Yes,,,,,Preparation for CN: up to CN review,,Yes,P163353,Nigeria Rural Access & Agricultural Marketing Project (RAAMP),Farhad Ahmed
341,Before CN Review,Impact Evaluation of the Integrated and Resilient Urban Mobility Project,qm48fewp,"  Nino Pkhikidze,  Nino Pkhikidze, Theophile Bougna,  Theophile Bougna",Yes,i2i,,Ongoing,,AFR,Sierra Leone,No,Yes,Low income,Sustainable Development,IEConnect,Transport,"Social, Urban, Rural & Resilience",Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P164353,Integrated and Resilient Urban Mobility Project,"Fatima Arroyo Arroyo, John Richardson"
342,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Impact Evaluation of the SAIP Project,P164520,"John Loeser, Saahil Karpe",Yes,Non-i2i,,,,AFR,Rwanda,No,Yes,Low income,Equitable Growth Finance and Institutions,Rural Development,Agriculture,"Environment & Natural Resources;Governance;Social, Urban, Rural & Resilience",Not Applicable,No,No,Yes,9/1/2019,9/10/2019,10/10/2022,Preparation for baseline / intervention: between CN review and baseline,,Yes,P164520,SUSTAINABLE AGRICULTURAL INTENSIFICATION AND FOOD SECURITY PROJECT,Winston Dawes
350,Before CN Review,Climate Smart Agriculture in Kenya,hr29tfea,Guigonan Serge Adjognon,Yes,Non-i2i,,,,AFR,Kenya,No,Yes,Lower middle income,Sustainable Development,Environment;Rural Development,Agriculture,Agriculture,Climate Change,No,No,,,,,Preparation for CN: up to CN review,,Yes,P154784,Kenya Climate Smart Agriculture Project,Vinay Vutukuru
